Code_Building;Code_StatusDataset;Code_Country;Code_BuildingType;Code_DataType_Building;Number_Building;Code_BuildingStock_Set;Code_BuildingStock_Subset;Code_BuildingStock_Building;Description_Building;Description_Building_National;Name_Photo_Building;Photo_Building;Remark_Building_1;Remark_Building_2;Remark_Building_3;Remark_Building_4;Date_Entry;Date_Change;Note_DataBaseAdmin;Code_TypeIntake_Year_Building;Year_Building;AssistingField_Year_Building_1;AssistingField_Year_Building_2;AssistingField_Year_Building_3;Code_ConstructionYearClass_Manual;Code_ConstructionYearClass_BuildingType;Code_ConstructionYearClass;Year1_Building;Year2_Building;Year2_Building_Extension;Code_UtilisationType;V_C;A_C_National;A_C_ExtDim;A_C_IntDim;A_C_Use;A_C_Living;A_C_Ref_Estim;A_C_Ref_Input;A_C_Ref;n_Apartment;n_Storey;Code_RoofType;Code_AtticCond;Code_CellarCond;Code_AttachedNeighbours;A_SolarPotential_1;Code_Orientation_SolarPotential_1;Inclination_SolarPotential_1;A_SolarPotential_2;Code_Orientation_SolarPotential_2;Inclination_SolarPotential_2;Code_ThermalBridging;Code_Infiltration;Code_Roof_1;Code_Roof_2;Code_Wall_1;Code_Wall_2;Code_Wall_3;Code_Floor_1;Code_Floor_2;Code_Window_1;Code_Window_2;Code_Door_1;Code_ConstructionBorder_Roof_1;Code_ConstructionBorder_Roof_2;Code_ConstructionBorder_Wall_1;Code_ConstructionBorder_Wall_2;Code_ConstructionBorder_Wall_3;Code_ConstructionBorder_Floor_1;Code_ConstructionBorder_Floor_2;A_Roof_1;A_Roof_2;A_Wall_1;A_Wall_2;A_Wall_3;A_Floor_1;A_Floor_2;A_Window_1;A_Window_2;A_Door_1;A_Window_Horizontal;A_Window_East;A_Window_South;A_Window_West;A_Window_North;U_Roof_1;U_Roof_2;U_Wall_1;U_Wall_2;U_Wall_3;U_Floor_1;U_Floor_2;U_Window_1;U_Window_2;U_Door_1;g_gl_n_Window_1;g_gl_n_Window_2;d_Insulation_Roof_1;d_Insulation_Roof_2;d_Insulation_Wall_1;d_Insulation_Wall_2;d_Insulation_Wall_3;d_Insulation_Floor_1;d_Insulation_Floor_2;Code_ComplexFootprint;Code_ComplexRoof;h_Ceiling;Code_Par_EnvAreaEstim;Code_TypeIntake_EnvelopeArea;p_Roof_FR;q_Roof_FR;p_Roof_P;q_Roof_P;p_Roof_C;q_Roof_C;p_Roof;q_Roof;p_Ceiling_N;q_Ceiling_N;p_Ceiling_P;q_Ceiling_P;p_Ceiling;q_Ceiling;p_Window;q_Window;p_Door;q_Door;p_GrossWall;q_GrossWall_N0;q_GrossWall_N1;q_GrossWall_N2;p_Floor;q_Floor;f_ComplexRoof_Min;f_ComplexRoof_Max;f_ComplexFootprint_Min;f_ComplexFootprint_Max;f_AtticCond;f_CellarCond;n_Storey_effective;A_C_Storey;n_Storey_effective_envelope;f_Corr_CeilingHeight;f_ComplexRoof;f_ComplexFootprint;A_Estim_GrossWall_Storey;V_Estim_C;A_Estim_Roof_1;A_Estim_Roof_2;A_Estim_Wall_1;A_Estim_Wall_2;A_Estim_Wall_3;A_Estim_Floor_1;A_Estim_Floor_2;A_Estim_Window_1;A_Estim_Window_2;A_Estim_Door_1;A_Estim_Env_Sum;A_Exact_Env_Sum;r_EnvTotal_ExactToEstim;f_PlausiCrit_EnvSum_LowerLimit;f_PlausiCrit_EnvSum_UpperLimit;Check_EnvSum_ExactToEstim;r_EnvFloor_ExactToEstim;f_PlausiCrit_FloorArea_LowerLimit;f_PlausiCrit_FloorArea_UpperLimit;Check_FloorArea_ExactToEstim;Check_ToBeApplied_FloorArea_ExactToEstim;r_EnvWindow_ExactToEstim;f_PlausiCrit_WindowArea_LowerLimit;f_PlausiCrit_WindowArea_UpperLimit;Check_WindowArea_ExactToEstim;Check_EnvArea_ExactToEstim;Code_Estim_ConstructionBorder_Roof_1;Code_Estim_ConstructionBorder_Roof_2;Code_Estim_ConstructionBorder_Wall_1;Code_Estim_ConstructionBorder_Wall_2;Code_Estim_ConstructionBorder_Wall_3;Code_Estim_ConstructionBorder_Floor_1;Code_Estim_ConstructionBorder_Floor_2;Code_TypeIntake_U_Constr;Code_U_Class_National;Code_U_Class_Constr;Indicator_Roof_Constr_Massive;Indicator_Roof_Constr_Wood;Indicator_UpperCeiling_Constr_Massive;Indicator_UpperCeiling_Constr_Wood;Indicator_Wall_Constr_Massive;Indicator_Wall_Constr_Wood;Indicator_Floor_Constr_Massive;Indicator_Floor_Constr_Wood;U_Class_Roof_Default;U_Class_Roof_Massive;U_Class_Roof_Wooden;U_Class_UpperCeiling_Default;U_Class_UpperCeiling_Massive;U_Class_UpperCeiling_Wooden;U_Class_Wall_Default;U_Class_Wall_Massive;U_Class_Wall_Wooden;U_Class_Floor_Default;U_Class_Floor_Massive;U_Class_Floor_Wooden;U_Class_Roof_1;U_Class_Roof_2;U_Class_Wall_1;U_Class_Wall_2;U_Class_Wall_3;U_Class_Floor_1;U_Class_Floor_2;Code_TypeIntake_U_Window;Code_U_Class_Window_Country;Code_U_Class_Window_National;NumberPanes_U_Class_Window;Code_U_Class_Window_LowE;Code_U_Class_Window_GasFilling;Code_U_Class_Window_FrameMaterial;Code_U_Class_Window_Further;Code_U_Class_Window_InstallationYear;Year_U_Class_Window_Installation;Code_U_Class_Window;Window_Value2_FirstYear;Window_Value3_FirstYear;U_Class_Window_Value1;U_Class_Window_Value2;U_Class_Window_Value3;g_gl_n_Class_Window_Value1;g_gl_n_Class_Window_Value2;g_gl_n_Class_Window_Value3;Index_Window_U_Class_InstallationYear;U_Class_Window_1;U_Class_Window_2;U_Class_Door_1;g_gl_n_Class_Window_1;g_gl_n_Class_Window_2;A_Calc_Roof_1;A_Calc_Roof_2;A_Calc_Wall_1;A_Calc_Wall_2;A_Calc_Wall_3;A_Calc_Floor_1;A_Calc_Floor_2;A_Calc_Window_1;A_Calc_Window_2;A_Calc_Door_1;A_Calc_Window_Horizontal;A_Calc_Window_East;A_Calc_Window_South;A_Calc_Window_West;A_Calc_Window_North;Code_Calc_ConstructionBorder_Roof_1;Code_Calc_ConstructionBorder_Roof_2;Code_Calc_ConstructionBorder_Wall_1;Code_Calc_ConstructionBorder_Wall_2;Code_Calc_ConstructionBorder_Wall_3;Code_Calc_ConstructionBorder_Floor_1;Code_Calc_ConstructionBorder_Floor_2;R_Add_UnheatedSpace_Roof_1;R_Add_UnheatedSpace_Roof_2;R_Add_UnheatedSpace_Wall_1;R_Add_UnheatedSpace_Wall_2;R_Add_UnheatedSpace_Wall_3;R_Add_UnheatedSpace_Floor_1;R_Add_UnheatedSpace_Floor_2;b_Transmission_Roof_1;b_Transmission_Roof_2;b_Transmission_Wall_1;b_Transmission_Wall_2;b_Transmission_Wall_3;b_Transmission_Floor_1;b_Transmission_Floor_2;U_Calc_Roof_1;U_Calc_Roof_2;U_Calc_Wall_1;U_Calc_Wall_2;U_Calc_Wall_3;U_Calc_Floor_1;U_Calc_Floor_2;U_Calc_Window_1;U_Calc_Window_2;U_Calc_Door_1;g_Calc_gl_n_Window_1;g_Calc_gl_n_Window_2;d_Calc_Insulation_Roof_1;d_Calc_Insulation_Roof_2;d_Calc_Insulation_Wall_1;d_Calc_Insulation_Wall_2;d_Calc_Insulation_Wall_3;d_Calc_Insulation_Floor_1;d_Calc_Insulation_Floor_2;;;
identification of the building dataset;code of the dataset status;ISO 3166-1-alpha-2 code;identification of the building type;code of the building data type;number of the example building representing the building type, starting from 1 (maximum value: 999);code of the building stock set which is analysed;code of the subset of the building stock, if applicable;code of a single building of the building stock (sub)set;description;national description;file name of the photo;range for displaying the building photo;internal remark;internal remark;internal remark;internal remark;date of entry into database;date of last change;note or advice by database administration;"""Catalogue"" (or empty) = use definition in table ""Tab.Type.Building""; ""Manual"" = use manual input of distinct year (automatic assignment of construction year classes)";construction year of the building;start national construction year class range: table row index;end national construction year class range: number of rows;identified national construction year class: index in range;code of the construction year class of the building;code of the construction year class of the building;code of the construction year class of the building;first year of the construction period;last year of the construction period;last year of the extended construction period;code of the utilsation type;conditioned building volume;conditioned national reference floor area;conditioned gross floor area;conditioned floor area;conditioned useful floor area;conditioned living area;TABULA reference floor area (conditioned floor area, internal dimensions), estimated from national floor areas;"TABULA reference floor area; actually measured from floor plans, by applying the TABULA definition";reference floor area (conditioned floor area, internal dimensions);number of apartments;number of complete storeys;type / inclination of the roof;heating situation in the attic rooms (if available);heating situation in the cellar rooms (if available);neighbour situation / number of directly attached buildings;usable area for solar systems;(main) geographical orientation of the usable area for solar systems;(main) inclination angle of the usable area for solar systems: values from 0 (horizontal) to 90 (vertical);usable area for solar systems;(main) geographical orientation of the usable area for solar systems;(main) inclination angle of the usable area for solar systems: values from 0 (horizontal) to 90 (vertical);classification of the thermal bridging;code for classification of airtightness;code for identification of the U-value;code for identification of the U-value;code for identification of the U-value;code for identification of the U-value;code for identification of the U-value;code for identification of the U-value;code for identification of the U-value;code for identification of the U-value;code for identification of the U-value;code for identification of the U-value;"border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground)
Ext         construction bordering on external air
Unh       construction bordering on unheated rooms (e.g. unheated attic) 
Cellar   construction bordering on unheated cellar
Soil        construction bordering on soil
";"border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground)
Ext         construction bordering on external air
Unh       construction bordering on unheated rooms (e.g. unheated attic) 
Cellar   construction bordering on unheated cellar
Soil        construction bordering on soil
";"border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground)
Ext         construction bordering on external air
Unh       construction bordering on unheated rooms (e.g. unheated attic) 
Cellar   construction bordering on unheated cellar
Soil        construction bordering on soil
";"border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground)
Ext         construction bordering on external air
Unh       construction bordering on unheated rooms (e.g. unheated attic) 
Cellar   construction bordering on unheated cellar
Soil        construction bordering on soil
";"border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground)
Ext         construction bordering on external air
Unh       construction bordering on unheated rooms (e.g. unheated attic) 
Cellar   construction bordering on unheated cellar
Soil        construction bordering on soil
";"border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground)
Ext         construction bordering on external air
Unh       construction bordering on unheated rooms (e.g. unheated attic) 
Cellar   construction bordering on unheated cellar
Soil        construction bordering on soil
";"border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground)
Ext         construction bordering on external air
Unh       construction bordering on unheated rooms (e.g. unheated attic) 
Cellar   construction bordering on unheated cellar
Soil        construction bordering on soil
";surface area (external dimensions);surface area (external dimensions);surface area (external dimensions);surface area (external dimensions);surface area (external dimensions);surface area (external dimensions);surface area (external dimensions);surface area, including frame;surface area, including frame;surface area, including frame;area of horizontal windows;window area oriented east;window area oriented south;window area oriented west;window area oriented north;U-value;U-value;U-value;U-value;U-value;U-value;U-value;U-value;U-value;U-value;total solar energy transmittance for radiation perpendicular to the glazing;total solar energy transmittance for radiation perpendicular to the glazing;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;complexity of footprint (TABULA code);complexity of roof shape (TABULA code);clear ceiling height (averaged over full storeys);code of dataset containing envelope area estimation parameters;"""Manual"" (or empty) = use area input values; ""Estimation"" = use estimated values";estimation of roof area: parameter p;estimation of roof area: parameter q;estimation of roof area: parameter p;estimation of roof area: parameter q;estimation of roof area: parameter p;estimation of roof area: parameter q;estimation of roof area: parameter p;estimation of roof area: parameter q;estimation of upper ceiling area: parameter p;estimation of upper ceiling area: parameter q;estimation of upper ceiling area: parameter p;estimation of upper ceiling area: parameter q;estimation of upper ceiling area: parameter p;estimation of upper ceiling area: parameter q;estimation of window area: parameter p;estimation of window area: parameter q;estimation of entry door area: parameter p;estimation of entry door area: parameter q;estimation of gross wall area: parameter p;estimation of gross wall area: parameter q;estimation of gross wall area: parameter q;estimation of gross wall area: parameter q;estimation of floor area: parameter p;estimation of floor area: parameter q;indicator of roof shape complexity;indicator of roof shape complexity;indicator of footprint shape complexity;indicator of footprint shape complexity;;;;;"number of effective storeys for determination of wall area in case of attics or cellars which are partly or not conditioned but included in thermal envelope (cases ""PI"" or ""NI"")";;;;estimated gross wall area (all wall areas + window areas);;estimated envelope area;estimated envelope area;estimated envelope area;estimated envelope area;estimated envelope area;estimated envelope area;estimated envelope area;estimated envelope area;estimated envelope area;estimated envelope area;;;ratio of total envelope area: exact to estimated;;;"global check of exact envelope areas compared to estimated values; criterium: total envelope";ratio of bottom part of envelope area: exact to estimated;;;"global check of exact envelope areas compared to estimated values; criterium: floor area (only in case of simple building geometries)";"This check of basement/floor area cannot be applied in case of partly or completely heated attics (the indicator is 0 in this case). ";ratio of window area: exact to estimated;;;"global check of exact envelope areas compared to estimated values; criterium: window area";"global check of exact envelope areas compared to estimated values; criteria: total envelope, floor area (only in case of simple building geometries), window area";border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);"""Catalogue"" (or empty) = use construction catalogue ""Tab.Building.Constr""; ""Class"" = use simplified U-values only depending on construciton year classes ";code of the national U-value typification version;code of the national construction year period for U-value typification;"indicator for a massive construction; values: 0 or empty for FALSE, 1 for TRUE";"indicator for a wooden construction; values: 0 or empty for FALSE, 1 for TRUE";"indicator for a massive construction; values: 0 or empty for FALSE, 1 for TRUE";"indicator for a wooden construction; values: 0 or empty for FALSE, 1 for TRUE";"indicator for a massive construction; values: 0 or empty for FALSE, 1 for TRUE";"indicator for a wooden construction; values: 0 or empty for FALSE, 1 for TRUE";"indicator for a massive construction; values: 0 or empty for FALSE, 1 for TRUE";"indicator for a wooden construction; values: 0 or empty for FALSE, 1 for TRUE";Roof;Roof;Roof;Upper Ceiling;Upper Ceiling;Upper Ceiling;Wall;Wall;Wall;Floor;Floor;Floor;U-value estimated on the basis of the construction year class;U-value estimated on the basis of the construction year class;U-value estimated on the basis of the construction year class;U-value estimated on the basis of the construction year class;U-value estimated on the basis of the construction year class;U-value estimated on the basis of the construction year class;U-value estimated on the basis of the construction year class;"""Catalogue"" (or empty) = use construction catalogue ""Tab.Building.Constr""; ""Class"" = use simplified U-values only depending on construction year classes ";ISO 3166-1-alpha-2 code;code of the national U-value typification version;number of window panes;low-e coating of window panes;gas filling between window panes;indicator window frame material;"indicator for a thermal break (metal windows) or an insulated frame (e.g. sandwich frame, ""passive house window"", ...)";;;code of the national construction year period for U-value typification;first year for application of value 2 (U_Class_Window_2 and g_Class_Window_2);first year for application of value 3 (U_Class_Window_3 and g_Class_Window_3);U-value window;U-value window;U-value window;total solar energy transmittance for radiation perpendicular to the glazing;total solar energy transmittance for radiation perpendicular to the glazing;total solar energy transmittance for radiation perpendicular to the glazing;;U-value estimated on the basis of the construction year class;U-value estimated on the basis of the construction year class;U-value estimated on the basis of the construction year class;total solar energy transmittance for radiation perpendicular to the glazing;total solar energy transmittance for radiation perpendicular to the glazing;envelope area actually used for further calculations;envelope area actually used for further calculations;envelope area actually used for further calculations;envelope area actually used for further calculations;envelope area actually used for further calculations;envelope area actually used for further calculations;envelope area actually used for further calculations;envelope area actually used for further calculations;envelope area actually used for further calculations;envelope area actually used for further calculations;area of horizontal windows;window area oriented east;window area oriented south;window area oriented west;window area oriented north;border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);border type, relevant for additional thermal resistance (unheated space) and transmission reduction factors (heat loss to ground);"additional thermal resistance due to unheated space bodering at the construction element
standard values in m�K/W:
0       external air
0,3   unheated space
0,3   unheated cellar
0      soil";"additional thermal resistance due to unheated space bodering at the construction element
standard values in m�K/W:
0       external air
0,3   unheated space
0,3   unheated cellar
0      soil";"additional thermal resistance due to unheated space bodering at the construction element
standard values in m�K/W:
0       external air
0,3   unheated space
0,3   unheated cellar
0      soil";"additional thermal resistance due to unheated space bodering at the construction element
standard values in m�K/W:
0       external air
0,3   unheated space
0,3   unheated cellar
0      soil";"additional thermal resistance due to unheated space bodering at the construction element
standard values in m�K/W:
0       external air
0,3   unheated space
0,3   unheated cellar
0      soil";"additional thermal resistance due to unheated space bodering at the construction element
standard values in m�K/W:
0       external air
0,3   unheated space
0,3   unheated cellar
0      soil";"additional thermal resistance due to unheated space bodering at the construction element
standard values in m�K/W:
0       external air
0,3   unheated space
0,3   unheated cellar
0      soil";"adjustment factor soil
standard values:
1       external air
1       unheated space
0,5    unheated cellar
0,5    soil";"adjustment factor soil
standard values:
1       external air
1       unheated space
0,5    unheated cellar
0,5    soil";"adjustment factor soil
standard values:
1       external air
1       unheated space
0,5    unheated cellar
0,5    soil";"adjustment factor soil
standard values:
1       external air
1       unheated space
0,5    unheated cellar
0,5    soil";"adjustment factor soil
standard values:
1       external air
1       unheated space
0,5    unheated cellar
0,5    soil";"adjustment factor soil
standard values:
1       external air
1       unheated space
0,5    unheated cellar
0,5    soil";"adjustment factor soil
standard values:
1       external air
1       unheated space
0,5    unheated cellar
0,5    soil";U-value;U-value;U-value;U-value;U-value;U-value;U-value;U-value;U-value;U-value;total solar energy transmittance for radiation perpendicular to the glazing;total solar energy transmittance for radiation perpendicular to the glazing;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;thickness of existing insulation;;;
;;;;;can be used, if several example buildings are entered for one building type;"free entry, used in case a building stock sample, portfolio or entirety is considered / in case of an entry in this field ""Code_Building"" has a different format";free entry;free entry;;;"required picture file names: ""{Code_BuildingType}.JPG""; picture file size: recommended 50-100 kB, max. 300 kB per picture; all pictures should be provided in a seperate ZIP-file";;e.g. data source;e.g. status of data preparation, open points;further comments 1;further comments 2;;;implemented / necessary / recommended changes;;;;;;derived from manual input;derived from assigned building type;;;;only used for extended construction year classes in case of average buildings (SyAv);indicator for utilisation conditions;conditioned volume of the building (external dimensions) - if available;reference area determined according to national energy performance regulations - if available;conditioned floor area calculated on the basis of external dimensions (measured at the outside surface of external walls) - if available;conditioned floor area calculated on the basis of internal dimensions (measured to the inside surface of external walls) - if available;section of the conditioned net floor area primarily dedicated to the utilisation of the building, excluding functional and circulation areas (excluding e.g. stair cases in all buildings, corridors in non-residential buildings) - if available;section of the conditioned net floor area inside of  the appartments of the building - if available;"estimated by use of conversion factors, see Publication ""TABULA Calculation Method"" at www.episcope.eu";"The TABULA reference area is the usable floor area inside the thermal envelope, determined on the basis of internal dimensions (measured from inside surface to inside surface of surrounding walls); considered are spaces with room height > 1,50 m; included are also footprints of stairwells and landings as well as storage and installation rooms, provided that they are located inside the thermal envelope. The so defined TABULA reference floor area is equivalent to the conditioned gross floor area (measured at a room height of 1,50 m) minus the cross-section areas of all included constructions.";"actually measured by applying the TABULA definiton, if available; otherwise estimated by applying standard conversion factors";;"number of conditioned floors/storeys of the building (without attic storey, without cellar) (see below)
If there is a completely conditioned underground storey it is not considered here (In this case there is a completely conditioned cellar, so cellar_cond=c, see below).";;;;;partial area 1;partial area 1;partial area 1;partial area 2;partial area 2;partial area 2;"standard values in W/(m�K):
0        minimal
0,02   very low
0,05   low
0,1     medium
0,15   high
(valid for thermal envelope based on external dimensions)";"standard values in 1/h:
0,05   minimal
0,1     low
0,2     medium
0,4     high";;;;;;;;;;;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;tilted below 30�, otherwise classified as vertical (see below);deviation from orientation: +/- 45�;deviation from orientation: +/- 45�;deviation from orientation: +/- 45�;deviation from orientation: +/- 45�;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;element type window 1;element type window 2;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;optional input quantity, if not available standard values are used;optional input quantity, if not available standard values are used;input only necessary if actual value is < 2.3m or > 2.7m, otherwise the standard value 2,5m is used;;;case: flat roof (inclination < 30�) / no attic storey available;case: flat roof (inclination < 30�) / no attic storey available;case: attic storey partly conditioned;case: attic storey partly conditioned;case: attic storey fully conditioned;case: attic storey fully conditioned;;;case: attic storey not conditioned;case: attic storey not conditioned;case: attic storey partly conditioned;case: attic storey partly conditioned;;;;;;;;case: detached building (0 neighboured building);case: semi-detached building (1 neighboured building);case: terraced building (2 neighboured buildings);;;case: simple shape;case: complex shape;case: simple shape;case: complex shape;;;;;;;;;interim quantity;;roof;upper ceiling;wall (external air);wall bordering at soil or unheated cellar;(field not used);floor above cellar or soil;(field not used);window;(field not used);door;;;;;;"0 = false
1 = true
-1 = not defined";;;;"0 = false
1 = true
-1 = not defined";;;;;"0 = false
1 = true
-1 = not defined";"0 = false
1 = true
-1 = not defined";roof;upper ceiling;wall (external air);wall bordering at soil or unheated cellar;(field not used);floor above cellar or soil;(field not used);;"used for dataset ID (free entry without blanks, standard code ""Gen"" = Generic)";;roof;roof;upper ceiling;upper ceiling;wall;wall;floor;floor;default;massive (structures of masonry, concrete, steel, ...);wooden (structures of timber frame, wooden beams / rafters, ...);default;massive (structures of masonry, concrete, steel, ...);wooden (wooden beam ceilings , ...);default;massive (structures of masonry, concrete, steel, ...);wooden (structures of timber frame, wooden beams, lightweight elements, ...);default;massive (structures of masonry, concrete, steel, ...);wooden (wooden beam ceilings , ...);element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;;;"used for dataset ID (free entry without blanks, standard code ""Gen"" = Generic)";;"possible entries: ""-"" (not specied) ""NoCoating"", ""LowE"", ""LowEPlus""";"possible entries: ""-"" (not specified), ""Air"", ""InertGas"", ""Argon"", ""Krypton""";"possible entries: ""-"" (not specified); ""Wood"", ""Plastic"", ""Metal"", ""WoodMetal""";"possible entries: ""-"", ""ThermalBreak"", ""Insulation"", ...";;;;in case of different window qualities, depending on installation year;in case of different window qualities, depending on installation year;version 1;version 2;version 3;version 1;version 2;version 3;;element type window 1;element type window 2;element type door 1;element type window 1;element type window 2;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;tilted below 30�, otherwise classified as vertical (see below);deviation from orientation: +/- 45�;deviation from orientation: +/- 45�;deviation from orientation: +/- 45�;deviation from orientation: +/- 45�;roof;upper ceiling;wall (external air);wall bordering at soil or unheated cellar;(field not used);floor above cellar or soil;(field not used);element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;in case of roof always equal to 1;in case of roof always equal to 1;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type roof 1;element type roof 2;element type wall 1;element type wall 2;element type wall 3;element type floor 1;element type floor 2;element type window 1;element type window 2;element type door 1;element type window 1;element type window 2;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;relevant in case of replacement by new measure;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;m�;m�;m�;m�;m�;m�;m�;m�;m�;;;;;;;m�;;� (degrees);m�;;� (degrees);;;;;;;;;;;;;;;;;;;;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);;;m;m;m;m;m;m;m;;;m;;;m�/m�;m�;m�/m�;m�;m�/m�;m�;m�/m�;m�;m�/m�;m�;m�/m�;m�;m�/m�;m�;m�/m�;m�;m�/m�;m�;m�/m�;m�;m�;m�;m�/m�;m�;;;;;;;;;;;;;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);;;;;;;;;;;;;;W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);;W/(m�K);W/(m�K);W/(m�K);;;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;m�;;;;;;;;m�K/W;m�K/W;m�K/W;m�K/W;m�K/W;m�K/W;m�K/W;;;;;;;;W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);W/(m�K);;;m;m;m;m;m;m;m;;;
